Technology_Type,Ready_for_Service_Date,Area_ID,Service_Status,State,longitude,latitude,discharge_amnt_total
Hybrid Fibre Coaxial (HFC),7/06/2019,2SHA-A0190,In Service,New South Wales,150.78724,-33.756978,1
Hybrid Fibre Coaxial (HFC),14/12/2018,2SHA-A0191,In Service,New South Wales,150.817061,-33.729479,1
Hybrid Fibre Coaxial (HFC),19/11/2019,2SHA-A0199,In Service,New South Wales,150.756282,-33.751939,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2SHA-A0215,In Service,New South Wales,150.795409,-33.738063,1
Hybrid Fibre Coaxial (HFC),31/01/2020,2SHA-A0306,In Service,New South Wales,150.745203,-33.757073,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2SHA-A0308,In Service,New South Wales,150.798924,-33.742966,1
Hybrid Fibre Coaxial (HFC),15/11/2019,2SHA-A0309,In Service,New South Wales,150.803243,-33.730119,1
Hybrid Fibre Coaxial (HFC),27/07/2018,2SHA-A0310,In Service,New South Wales,150.819019,-33.738601,1
Hybrid Fibre Coaxial (HFC),31/05/2019,2SHA-A0312,In Service,New South Wales,150.790658,-33.740005,1
Hybrid Fibre Coaxial (HFC),26/06/2020,2SHA-A0314,Proposed,New South Wales,150.787993,-33.737642,1
Hybrid Fibre Coaxial (HFC),26/11/2019,2SHA-A0316,In Service,New South Wales,150.827495,-33.743332,1
Hybrid Fibre Coaxial (HFC),7/11/2019,2SHA-A0318,In Service,New South Wales,150.821665,-33.736703,1
Hybrid Fibre Coaxial (HFC),18/12/2019,2SHA-A0320,In Service,New South Wales,150.806921,-33.741294,1
Hybrid Fibre Coaxial (HFC),28/10/2019,2SHA-A0321,In Service,New South Wales,150.815874,-33.72891,1
Hybrid Fibre Coaxial (HFC),10/12/2019,2SHA-A0322,In Service,New South Wales,150.797428,-33.739918,1
Hybrid Fibre Coaxial (HFC),7/11/2018,2SHA-A0324,In Service,New South Wales,150.79286,-33.726556,1
Hybrid Fibre Coaxial (HFC),24/05/2019,2SHA-A0325,In Service,New South Wales,150.796341,-33.727258,1
Hybrid Fibre Coaxial (HFC),24/05/2019,2SHA-A0326,In Service,New South Wales,150.742691,-33.741031,1
Hybrid Fibre Coaxial (HFC),20/08/2019,2SHA-A0327,In Service,New South Wales,150.741803,-33.740911,1
Hybrid Fibre Coaxial (HFC),29/10/2018,2SHA-A0328,In Service,New South Wales,150.803927,-33.745911,1
Hybrid Fibre Coaxial (HFC),1/10/2019,2SHA-A0329,In Service,New South Wales,150.800225,-33.74374,1
Hybrid Fibre Coaxial (HFC),16/05/2019,2SHA-A0330,In Service,New South Wales,150.797714,-33.742884,1
Hybrid Fibre Coaxial (HFC),13/07/2018,2SHA-A0331,In Service,New South Wales,150.788044,-33.742235,1
Hybrid Fibre Coaxial (HFC),20/02/2020,2SHA-A0332,In Service,New South Wales,150.793719,-33.741956,1
Hybrid Fibre Coaxial (HFC),24/04/2018,2SHA-A0333,In Service,New South Wales,150.826192,-33.739684,1
Hybrid Fibre Coaxial (HFC),2/10/2017,2SHA-A0334,In Service,New South Wales,150.814423,-33.736951,1
Hybrid Fibre Coaxial (HFC),9/09/2019,2SHA-A0335,In Service,New South Wales,150.820412,-33.737693,1
Hybrid Fibre Coaxial (HFC),3/09/2018,2SHA-A0336,In Service,New South Wales,150.795136,-33.73799,1
Hybrid Fibre Coaxial (HFC),26/07/2019,2SHA-A0337,In Service,New South Wales,150.808254,-33.733661,1
Hybrid Fibre Coaxial (HFC),24/06/2019,2SHA-A0339,In Service,New South Wales,150.779185,-33.754332,1
Hybrid Fibre Coaxial (HFC),6/12/2019,2SHA-A0342,In Service,New South Wales,150.77775,-33.756295,1
Hybrid Fibre Coaxial (HFC),15/11/2019,2SHA-A0343,In Service,New South Wales,150.810207,-33.725818,1
Hybrid Fibre Coaxial (HFC),11/11/2019,2SHA-A0345,In Service,New South Wales,150.787933,-33.753828,1
Hybrid Fibre Coaxial (HFC),5/12/2019,2SHA-A0346,In Service,New South Wales,150.818222,-33.730073,1
Hybrid Fibre Coaxial (HFC),9/12/2019,2SHA-A0360,In Service,New South Wales,150.824698,-33.739794,1
Hybrid Fibre Coaxial (HFC),7/11/2019,2SHA-A0361,In Service,New South Wales,150.821653,-33.736759,1
Hybrid Fibre Coaxial (HFC),30/01/2020,2SHA-A0362,In Service,New South Wales,150.792657,-33.722043,1
Hybrid Fibre Coaxial (HFC),6/12/2019,2SHA-A0363,In Service,New South Wales,150.774285,-33.756579,1
Hybrid Fibre Coaxial (HFC),19/12/2019,2SHA-A0365,In Service,New South Wales,150.8117,-33.725555,1
Hybrid Fibre Coaxial (HFC),30/03/2020,2SHA-A0379,In Service,New South Wales,150.821312,-33.734864,1
Hybrid Fibre Coaxial (HFC),14/04/2020,2SHA-A0388,In Service,New South Wales,150.781102,-33.756733,1
Hybrid Fibre Coaxial (HFC),17/04/2020,2SHA-A0389,In Service,New South Wales,150.81568,-33.736128,1
Hybrid Fibre Coaxial (HFC),22/04/2020,2SHA-A0390,In Service,New South Wales,150.815947,-33.736657,1
Hybrid Fibre Coaxial (HFC),26/05/2020,2SHA-A0392,In Service,New South Wales,150.798549,-33.73195,1
Hybrid Fibre Coaxial (HFC),29/05/2020,2SHA-A0395,In Service,New South Wales,150.818535,-33.73674,1
Hybrid Fibre Coaxial (HFC),18/06/2020,2SHA-A0396,In Service,New South Wales,150.745445,-33.748506,1
Hybrid Fibre Coaxial (HFC),//,2SHA-A0397,Proposed,New South Wales,150.781086,-33.749619,1
Hybrid Fibre Coaxial (HFC),5/06/2020,2SHA-A0398,In Service,New South Wales,150.802409,-33.739735,1
Hybrid Fibre Coaxial (HFC),5/06/2020,2SHA-A0399,In Service,New South Wales,150.799525,-33.73629,1
Hybrid Fibre Coaxial (HFC),22/05/2020,2SHA-A0400,In Service,New South Wales,150.82031,-33.739311,1
Hybrid Fibre Coaxial (HFC),//,2SHA-A0401,Proposed,New South Wales,150.802827,-33.729373,1
