Technology_Type,Ready_for_Service_Date,Area_ID,Service_Status,longitude,latitude
Fibre to the Basement,26/04/2019,3EXH-A0899,In Service,144.968514,-37.810924
Fibre to the Basement,29/03/2019,3EXH-A0900,In Service,144.973075,-37.813313
Fibre to the Basement,26/04/2019,3EXH-A0901,In Service,144.966458,-37.811517
Fibre to the Basement,4/04/2019,3EXH-A0902,In Service,144.971839,-37.813558
Fibre to the Basement,17/05/2019,3EXH-A0903,In Service,144.973777,-37.811132
Fibre to the Basement,17/05/2019,3EXH-A0904,In Service,144.977395,-37.811523
Fibre to the Basement,17/05/2019,3EXH-A0905,In Service,144.977206,-37.812429
Fibre to the Basement,17/05/2019,3EXH-A0906,In Service,144.975534,-37.812722
Fibre to the Basement,26/04/2019,3EXH-A0909,In Service,144.96614,-37.811443
Fibre to the Basement,26/04/2019,3EXH-A0913,In Service,144.965413,-37.81181
Fibre to the Basement,26/04/2019,3EXH-A0914,In Service,144.965499,-37.812548
Fibre to the Basement,26/04/2019,3EXH-A0915,In Service,144.967181,-37.812663
Fibre to the Basement,26/04/2019,3EXH-A0918,In Service,144.966737,-37.812913
Fibre to the Basement,26/04/2019,3EXH-A0919,In Service,144.969253,-37.810493
Fibre to the Basement,26/04/2019,3EXH-A0920,In Service,144.968667,-37.810713
Fibre to the Basement,31/05/2019,3EXH-A0923,In Service,144.964332,-37.815166
Fibre to the Basement,31/12/2018,3EXH-A0926,In Service,144.965112,-37.813445
Fibre to the Basement,19/10/2018,3EXH-A0952,In Service,144.969247,-37.815987
Fibre to the Basement,31/12/2018,3EXH-A0956,In Service,144.963292,-37.813618
Fibre to the Basement,19/10/2018,3EXH-A0965,In Service,144.965472,-37.816646
Fibre to the Basement,19/10/2018,3EXH-A0966,In Service,144.968144,-37.816734
Fibre to the Basement,19/10/2018,3EXH-A0967,In Service,144.967645,-37.816797
Fibre to the Basement,19/10/2018,3EXH-A0968,In Service,144.966425,-37.816823
Fibre to the Basement,19/10/2018,3EXH-A0969,In Service,144.965982,-37.81704
Fibre to the Basement,19/10/2018,3EXH-A0970,In Service,144.966171,-37.816994
Fibre to the Basement,19/10/2018,3EXH-A0971,In Service,144.965529,-37.817174
Fibre to the Basement,19/10/2018,3EXH-A0972,In Service,144.964938,-37.817187
Fibre to the Basement,19/10/2018,3EXH-A0973,In Service,144.964881,-37.817299
Fibre to the Basement,19/10/2018,3EXH-A0974,In Service,144.966377,-37.817395
Fibre to the Basement,19/10/2018,3EXH-A0975,In Service,144.965994,-37.817521
Fibre to the Basement,19/10/2018,3EXH-A0976,In Service,144.965351,-37.817695
Fibre to the Basement,19/10/2018,3EXH-A0977,In Service,144.967082,-37.817338
Fibre to the Basement,31/05/2019,3EXH-A0978,In Service,144.966619,-37.813759
Fibre to the Basement,19/10/2018,3EXH-A0979,In Service,144.964491,-37.816422
Fibre to the Basement,30/09/2020,3EXH-A0984,Proposed,144.963835,-37.813452
Fibre to the Basement,26/04/2019,3EXH-A0985,In Service,144.967688,-37.812676
Fibre to the Basement,26/04/2019,3EXH-A0986,In Service,144.968903,-37.810749
Fibre to the Basement,19/10/2018,3EXH-A0992,In Service,144.968028,-37.815339
Fibre to the Basement,17/05/2019,3EXH-A0993,In Service,144.976684,-37.817143
Fibre to the Basement,19/10/2018,3EXH-A0994,In Service,144.968375,-37.816358
Fibre to the Basement,17/05/2019,3EXH-A0995,In Service,144.977369,-37.817198
Fibre to the Basement,17/05/2019,3EXH-A0996,In Service,144.978368,-37.817372
Fibre to the Basement,19/10/2018,3EXH-A0997,In Service,144.966623,-37.816327
Fibre to the Basement,19/10/2018,3EXH-A0998,In Service,144.967791,-37.81576
Fibre to the Basement,19/10/2018,3EXH-A0999,In Service,144.96633,-37.81584
Fibre to the Basement,19/10/2018,3EXH-A1001,In Service,144.966102,-37.816009
Fibre to the Basement,19/10/2018,3EXH-A1002,In Service,144.96649,-37.816033
Fibre to the Basement,19/10/2018,3EXH-A1003,In Service,144.965828,-37.816068
Fibre to the Basement,19/10/2018,3EXH-A1004,In Service,144.968828,-37.816143
Fibre to the Basement,19/10/2018,3EXH-A1005,In Service,144.965651,-37.81635
Fibre to the Basement,26/04/2019,3EXH-A1016,In Service,144.967546,-37.812718
Fibre to the Basement,18/06/2019,3EXH-A1017,In Service,144.968629,-37.812925
Fibre to the Basement,19/10/2018,3EXH-A1018,In Service,144.968999,-37.816047
Fibre to the Basement,17/05/2019,3EXH-A1021,In Service,144.976557,-37.817077
Fibre to the Basement,25/06/2018,3EXH-A1022,In Service,144.968113,-37.809031
Fibre to the Basement,26/04/2019,3EXH-A1023,In Service,144.969182,-37.812238
Fibre to the Basement,20/09/2019,3EXH-A1025,In Service,144.98672,-37.822765
Fibre to the Basement,26/04/2019,3EXH-A1026,In Service,144.967353,-37.812307
Fibre to the Basement,19/06/2020,3EXH-A1032,In Service,144.976228,-37.809013
Fibre to the Basement,21/05/2019,3FKN-A0417,In Service,144.952858,-37.689479
Fibre to the Basement,27/06/2019,3FKN-A0418,In Service,144.959369,-37.688272
Fibre to the Basement,26/09/2019,3FKN-A0420,In Service,144.949499,-37.71595
Fibre to the Basement,26/04/2019,3FKN-A0421,In Service,144.95609,-37.670353
Fibre to the Basement,30/09/2019,3FKN-A0422,In Service,144.949611,-37.715655
Fibre to the Basement,24/01/2020,3FKN-A0424,In Service,144.915754,-37.701954
Fibre to the Basement,26/04/2019,3FKN-A0426,In Service,144.948804,-37.67807
Fibre to the Basement,28/06/2019,3FKN-A0427,In Service,144.943118,-37.685569
Fibre to the Basement,30/04/2019,3FKN-A0428,In Service,144.939956,-37.685311
Fibre to the Basement,27/06/2019,3FKN-A0429,In Service,144.956359,-37.685732
Fibre to the Basement,26/04/2019,3FKN-A0430,In Service,144.940417,-37.690087
Fibre to the Basement,24/01/2020,3FKN-A0431,In Service,144.915709,-37.701622
Fibre to the Basement,24/01/2020,3FKN-A0432,In Service,144.915808,-37.70216
Fibre to the Basement,26/09/2019,3FKN-A0433,In Service,144.946596,-37.71655
Fibre to the Basement,24/01/2020,3FKN-A0434,In Service,144.915894,-37.702453
Fibre to the Basement,26/09/2019,3FKN-A0435,In Service,144.955399,-37.703574
Fibre to the Basement,14/06/2019,3FKN-A0436,In Service,144.918398,-37.70487
Fibre to the Basement,24/01/2020,3FKN-A0437,In Service,144.910624,-37.705513
Fibre to the Basement,24/01/2020,3FKN-A0438,In Service,144.963068,-37.707401
Fibre to the Basement,24/09/2019,3FKN-A0440,In Service,144.907415,-37.705478
Fibre to the Basement,26/09/2019,3FKN-A0441,In Service,144.944218,-37.715477
Fibre to the Basement,14/06/2019,3FKN-A0610,Proposed,144.921444,-37.709393
Fibre to the Basement,14/06/2019,3FKN-A0611,Proposed,144.921762,-37.709675
Fibre to the Basement,6/05/2020,3FKN-A0612,In Service,144.95025,-37.715862
Fibre to the Basement,20/01/2017,3FNT-A0344,Proposed,145.31447,-37.898961
